Date UTC,Tube #,CTD cast,Niskin,depth,comments.sampling,drop.sample,field.negative.type,extraction,comments.extraction,qubit.ng.ul,water.filtered.L,elution (ul),Fluor,Zymo columns
7/6/19,162,29-4,sfc,sfc,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 154-168 plus neg.,,2.5,100,10.4112,Yes
7/6/19,163,29-4,sfc,sfc,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 154-168 plus neg.,,2.5,100,10.4112,Yes
7/6/19,164,-,-,-,"Evap DI water, ~2L",,Evap.DI,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,,
7/6/19,165,-,-,-,Lab DI water,,Lab.DI,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,,
7/6/19,166,29-6,1,500,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.01153,
7/6/19,167,29-6,2,500,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.01153,
7/6/19,168,29-6,3,300,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.00959,
7/6/19,169,29-6,4,300,ST,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.00959,
7/6/19,170,29-6,5,150,ST,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.01787,
7/6/19,171,29-6,6,150,ST,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.01787,
