qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H9,H2,E00,gBlocks,26.609,-0.076,STANDARD,35.853,1,STANDARD,35.680,1,STANDARD,37.233,1
H9,H3,E00,gBlocks,26.595,-0.090,STANDARD,36.821,1,STANDARD,34.946,1,STANDARD,Undetermined,1
H10,A1,E05,gBlocks,29.542,3.008,STANDARD,19.423,100000,STANDARD,19.169,100000,STANDARD,20.211,100000
H10,A2,E05,gBlocks,30.443,3.909,STANDARD,18.981,100000,STANDARD,18.738,100000,STANDARD,19.800,100000
H10,A3,E05,gBlocks,30.142,3.608,STANDARD,19.105,100000,STANDARD,18.846,100000,STANDARD,19.871,100000
H10,B1,E04,gBlocks,26.733,0.199,STANDARD,22.279,10000,STANDARD,21.956,10000,STANDARD,23.039,10000
H10,B2,E04,gBlocks,26.734,0.200,STANDARD,22.279,10000,STANDARD,22.074,10000,STANDARD,23.171,10000
H10,B3,E04,gBlocks,26.675,0.141,STANDARD,22.198,10000,STANDARD,21.997,10000,STANDARD,23.003,10000
H10,C1,E03,gBlocks,26.395,-0.140,STANDARD,25.634,1000,STANDARD,25.319,1000,STANDARD,26.357,1000
H10,C2,E03,gBlocks,26.309,-0.226,STANDARD,25.617,1000,STANDARD,25.188,1000,STANDARD,26.220,1000
H10,C3,E03,gBlocks,26.235,-0.299,STANDARD,25.547,1000,STANDARD,25.310,1000,STANDARD,26.429,1000
H10,D1,E02,gBlocks,26.422,-0.113,STANDARD,28.581,100,STANDARD,28.332,100,STANDARD,29.382,100
H10,D2,E02,gBlocks,26.513,-0.021,STANDARD,28.744,100,STANDARD,28.327,100,STANDARD,29.621,100
H10,D3,E02,gBlocks,26.429,-0.106,STANDARD,28.709,100,STANDARD,28.071,100,STANDARD,29.477,100
H10,E1,E01,gBlocks,26.418,-0.116,STANDARD,32.277,10,STANDARD,32.014,10,STANDARD,33.080,10
H10,E2,E01,gBlocks,26.460,-0.075,STANDARD,32.063,10,STANDARD,31.234,10,STANDARD,32.855,10
H10,E3,E01,gBlocks,26.796,0.261,STANDARD,32.281,10,STANDARD,31.475,10,STANDARD,33.344,10
H10,F1,5,gBlocks,26.362,-0.172,STANDARD,32.976,5,STANDARD,31.966,5,STANDARD,34.674,5
H10,F2,5,gBlocks,26.904,0.369,STANDARD,33.240,5,STANDARD,32.811,5,UNKNOWN,35.389,2.050184965
H10,F3,5,gBlocks,26.532,-0.003,STANDARD,33.410,5,STANDARD,32.467,5,STANDARD,34.032,5
H10,G1,E00,gBlocks,26.549,0.014,STANDARD,34.704,1,STANDARD,35.347,1,STANDARD,35.126,1
H10,G2,E00,gBlocks,26.837,0.302,STANDARD,37.464,1,STANDARD,35.851,1,STANDARD,37.828,1
H10,G3,E00,gBlocks,26.533,-0.001,STANDARD,35.542,1,STANDARD,34.326,1,STANDARD,36.075,1
H10,H1,E00,gBlocks,26.471,-0.063,STANDARD,34.077,1,STANDARD,34.301,1,STANDARD,35.525,1
H10,H2,E00,gBlocks,26.386,-0.149,STANDARD,36.095,1,STANDARD,34.781,1,STANDARD,36.530,1
H10,H3,E00,gBlocks,26.768,0.234,STANDARD,35.896,1,STANDARD,34.724,1,STANDARD,37.697,1
H11,A1,E05,gBlocks,28.790,2.659,STANDARD,19.745,100000,STANDARD,19.469,100000,STANDARD,20.968,100000
H11,A2,E05,gBlocks,29.137,3.006,STANDARD,19.505,100000,STANDARD,19.142,100000,STANDARD,20.669,100000
H11,A3,E05,gBlocks,28.286,2.155,STANDARD,19.723,100000,STANDARD,19.313,100000,STANDARD,20.818,100000
H11,B1,E04,gBlocks,26.440,0.309,STANDARD,22.898,10000,STANDARD,22.522,10000,STANDARD,24.042,10000
H11,B2,E04,gBlocks,26.214,0.083,STANDARD,22.912,10000,STANDARD,22.629,10000,STANDARD,24.011,10000
H11,B3,E04,gBlocks,26.175,0.044,STANDARD,23.045,10000,STANDARD,22.735,10000,STANDARD,24.197,10000
H11,C1,E03,gBlocks,26.212,0.081,STANDARD,26.014,1000,STANDARD,25.626,1000,STANDARD,27.067,1000
H11,C2,E03,gBlocks,26.242,0.111,STANDARD,25.998,1000,STANDARD,25.486,1000,STANDARD,26.943,1000
H11,C3,E03,gBlocks,26.151,0.020,STANDARD,25.944,1000,STANDARD,25.572,1000,STANDARD,27.179,1000
H11,D1,E02,gBlocks,26.380,0.249,STANDARD,28.943,100,STANDARD,28.619,100,STANDARD,29.954,100
H11,D2,E02,gBlocks,26.391,0.260,STANDARD,28.948,100,STANDARD,28.506,100,STANDARD,29.862,100
H11,D3,E02,gBlocks,26.378,0.247,STANDARD,28.863,100,STANDARD,28.344,100,STANDARD,29.902,100
H11,E1,E01,gBlocks,26.282,0.151,STANDARD,32.091,10,STANDARD,31.991,10,STANDARD,34.201,10
H11,E2,E01,gBlocks,26.422,0.291,STANDARD,31.946,10,STANDARD,32.138,10,STANDARD,33.602,10
H11,E3,E01,gBlocks,26.361,0.230,STANDARD,32.777,10,STANDARD,31.694,10,STANDARD,33.729,10
H11,F1,5,gBlocks,26.354,0.223,STANDARD,32.903,5,STANDARD,32.880,5,STANDARD,34.665,5
H11,F2,5,gBlocks,26.392,0.261,STANDARD,33.282,5,STANDARD,32.823,5,STANDARD,34.869,5
H11,F3,5,gBlocks,26.313,0.182,STANDARD,33.427,5,STANDARD,32.209,5,STANDARD,34.729,5
H11,G1,E00,gBlocks,26.470,0.339,STANDARD,35.745,1,STANDARD,36.234,1,STANDARD,36.102,1
H11,G2,E00,gBlocks,26.300,0.169,STANDARD,35.319,1,STANDARD,34.160,1,STANDARD,36.249,1
H11,G3,E00,gBlocks,26.483,0.352,STANDARD,34.597,1,STANDARD,34.890,1,STANDARD,Undetermined,1
H11,H1,E00,gBlocks,26.310,0.179,STANDARD,35.831,1,STANDARD,34.787,1,STANDARD,37.153,1
H11,H2,E00,gBlocks,26.454,0.323,STANDARD,Undetermined,1,STANDARD,36.273,1,STANDARD,Undetermined,1
H11,H3,E00,gBlocks,26.351,0.220,STANDARD,Undetermined,1,STANDARD,35.142,1,STANDARD,Undetermined,1
H12,A1,E05,gBlocks,30.966,4.706,STANDARD,19.853,100000,STANDARD,18.709,100000,STANDARD,19.799,100000
H12,A2,E05,gBlocks,31.726,5.466,STANDARD,19.637,100000,STANDARD,18.435,100000,STANDARD,19.517,100000
H12,A3,E05,gBlocks,30.508,4.248,STANDARD,19.801,100000,STANDARD,18.539,100000,STANDARD,19.664,100000
H12,B1,E04,gBlocks,26.605,0.345,STANDARD,22.940,10000,STANDARD,21.713,10000,STANDARD,22.808,10000
H12,B2,E04,gBlocks,26.658,0.398,STANDARD,22.923,10000,STANDARD,21.739,10000,STANDARD,22.878,10000
H12,B3,E04,gBlocks,26.406,0.146,STANDARD,23.016,10000,STANDARD,21.828,10000,STANDARD,22.942,10000
H12,C1,E03,gBlocks,26.336,0.076,STANDARD,26.197,1000,STANDARD,24.983,1000,STANDARD,26.068,1000
H12,C2,E03,gBlocks,26.210,-0.050,STANDARD,26.178,1000,STANDARD,24.951,1000,STANDARD,25.902,1000
H12,C3,E03,gBlocks,26.149,-0.111,STANDARD,26.148,1000,STANDARD,24.894,1000,STANDARD,25.984,1000
H12,D1,E02,gBlocks,26.343,0.083,STANDARD,29.432,100,STANDARD,28.118,100,STANDARD,29.034,100
H12,D2,E02,gBlocks,26.337,0.077,STANDARD,29.390,100,STANDARD,28.006,100,STANDARD,28.998,100
H12,D3,E02,gBlocks,26.416,0.156,STANDARD,29.416,100,STANDARD,27.805,100,STANDARD,28.902,100
H12,E1,E01,gBlocks,26.358,0.098,STANDARD,32.523,10,STANDARD,31.180,10,STANDARD,32.166,10
H12,E2,E01,gBlocks,26.428,0.168,STANDARD,32.409,10,STANDARD,31.116,10,STANDARD,32.409,10
H12,E3,E01,gBlocks,26.394,0.134,STANDARD,33.326,10,STANDARD,31.034,10,STANDARD,32.086,10
H12,F1,5,gBlocks,26.329,0.069,STANDARD,33.665,5,STANDARD,31.819,5,STANDARD,34.555,5
H12,F2,5,gBlocks,26.449,0.189,STANDARD,33.102,5,STANDARD,32.230,5,STANDARD,33.635,5
H12,F3,5,gBlocks,26.315,0.055,STANDARD,33.134,5,STANDARD,32.116,5,STANDARD,33.062,5
H12,G1,E00,gBlocks,26.431,0.171,STANDARD,35.384,1,STANDARD,34.339,1,STANDARD,35.082,1
H12,G2,E00,gBlocks,26.424,0.165,STANDARD,34.928,1,STANDARD,34.330,1,STANDARD,34.047,1
H12,G3,E00,gBlocks,26.344,0.084,STANDARD,36.724,1,STANDARD,34.819,1,STANDARD,35.181,1
H12,H1,E00,gBlocks,26.327,0.067,STANDARD,34.829,1,STANDARD,34.348,1,STANDARD,35.660,1
H12,H2,E00,gBlocks,26.471,0.211,STANDARD,35.952,1,STANDARD,34.489,1,STANDARD,36.384,1
H12,H3,E00,gBlocks,26.479,0.219,STANDARD,36.895,1,STANDARD,34.292,1,STANDARD,36.413,1
H13,A1,E05,gBlocks,29.249,3.129,STANDARD,19.632,100000,STANDARD,18.742,100000,STANDARD,20.058,100000
H13,A2,E05,gBlocks,30.838,4.718,STANDARD,19.441,100000,STANDARD,18.471,100000,STANDARD,19.837,100000
H13,A3,E05,gBlocks,29.910,3.790,STANDARD,19.500,100000,STANDARD,18.496,100000,STANDARD,19.863,100000
H13,B1,E04,gBlocks,26.338,0.218,STANDARD,22.752,10000,STANDARD,21.804,10000,STANDARD,23.119,10000
H13,B2,E04,gBlocks,26.245,0.124,STANDARD,22.716,10000,STANDARD,21.762,10000,STANDARD,23.103,10000
H13,B3,E04,gBlocks,26.081,-0.040,STANDARD,22.778,10000,STANDARD,21.789,10000,STANDARD,23.120,10000
H13,C1,E03,gBlocks,25.932,-0.188,STANDARD,26.016,1000,STANDARD,24.950,1000,STANDARD,26.371,1000
