qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H11,H2,E00,gBlocks,26.45437431,0.323,STANDARD,Undetermined,1,STANDARD,36.27298355,1,STANDARD,Undetermined,1
H11,H3,E00,gBlocks,26.3509655,0.220,STANDARD,Undetermined,1,STANDARD,35.1424408,1,STANDARD,Undetermined,1
H12,A1,E05,gBlocks,30.96586609,4.706,STANDARD,19.85321808,100000,STANDARD,18.70928764,100000,STANDARD,19.79907036,100000
H12,A2,E05,gBlocks,31.72607803,5.466,STANDARD,19.63732719,100000,STANDARD,18.43479156,100000,STANDARD,19.51698875,100000
H12,A3,E05,gBlocks,30.50804138,4.248,STANDARD,19.80149269,100000,STANDARD,18.53935432,100000,STANDARD,19.66368484,100000
H12,B1,E04,gBlocks,26.60544777,0.345,STANDARD,22.9395256,10000,STANDARD,21.71266937,10000,STANDARD,22.80802917,10000
H12,B2,E04,gBlocks,26.65787697,0.398,STANDARD,22.92280769,10000,STANDARD,21.73892021,10000,STANDARD,22.87776184,10000
H12,B3,E04,gBlocks,26.405756,0.146,STANDARD,23.01599693,10000,STANDARD,21.82800102,10000,STANDARD,22.94182205,10000
H12,C1,E03,gBlocks,26.33629227,0.076,STANDARD,26.19737053,1000,STANDARD,24.98273277,1000,STANDARD,26.06750107,1000
H12,C2,E03,gBlocks,26.20961571,-0.050,STANDARD,26.1782589,1000,STANDARD,24.95059204,1000,STANDARD,25.90209198,1000
H12,C3,E03,gBlocks,26.14895058,-0.111,STANDARD,26.147995,1000,STANDARD,24.89385414,1000,STANDARD,25.98443222,1000
H12,D1,E02,gBlocks,26.34310913,0.083,STANDARD,29.43157768,100,STANDARD,28.11824799,100,STANDARD,29.03404617,100
H12,D2,E02,gBlocks,26.3373909,0.077,STANDARD,29.38986206,100,STANDARD,28.00630569,100,STANDARD,28.99805641,100
H12,D3,E02,gBlocks,26.41640091,0.156,STANDARD,29.41577148,100,STANDARD,27.80508995,100,STANDARD,28.90181541,100
H12,E1,E01,gBlocks,26.35840797,0.098,STANDARD,32.52304077,10,STANDARD,31.17988396,10,STANDARD,32.16638947,10
H12,E2,E01,gBlocks,26.42823601,0.168,STANDARD,32.40924454,10,STANDARD,31.11594391,10,STANDARD,32.40883636,10
H12,E3,E01,gBlocks,26.39428902,0.134,STANDARD,33.32644272,10,STANDARD,31.03432655,10,STANDARD,32.08592224,10
H12,F1,5,gBlocks,26.32902527,0.069,STANDARD,33.66482544,5,STANDARD,31.81855774,5,STANDARD,34.55466461,5
H12,F2,5,gBlocks,26.44880104,0.189,STANDARD,33.10241699,5,STANDARD,32.23007965,5,STANDARD,33.63511276,5
H12,F3,5,gBlocks,26.31466866,0.055,STANDARD,33.13391495,5,STANDARD,32.11647415,5,STANDARD,33.06245422,5
H12,G1,E00,gBlocks,26.43084526,0.171,STANDARD,35.38401031,1,STANDARD,34.33909607,1,STANDARD,35.08187485,1
H12,G2,E00,gBlocks,26.42449951,0.165,STANDARD,34.92782593,1,STANDARD,34.32981491,1,STANDARD,34.04663849,1
H12,G3,E00,gBlocks,26.34375,0.084,STANDARD,36.72392273,1,STANDARD,34.81864929,1,STANDARD,35.18103027,1
H12,H1,E00,gBlocks,26.32691765,0.067,STANDARD,34.82913208,1,STANDARD,34.34836197,1,STANDARD,35.659935,1
H12,H2,E00,gBlocks,26.4708252,0.211,STANDARD,35.9516983,1,STANDARD,34.48860168,1,STANDARD,36.38441086,1
H12,H3,E00,gBlocks,26.47907066,0.219,STANDARD,36.89450836,1,STANDARD,34.29190826,1,STANDARD,36.41252899,1
H13,A1,E05,gBlocks,29.24936295,3.129,STANDARD,19.63160515,100000,STANDARD,18.74170303,100000,STANDARD,20.05805969,100000
H13,A2,E05,gBlocks,30.83805656,4.718,STANDARD,19.44095039,100000,STANDARD,18.47117233,100000,STANDARD,19.83719254,100000
