qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul,hake.confirmed,lamprey.confirmed,eulachon.confirmed
H38,K16,442,unknowns,UNKNOWN,26.646,0.172,,,0.20,39.822,0.164,Undetermined,,Undetermined,,,,
H38,K17,442,unknowns,UNKNOWN,26.572,0.098,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,K18,442,unknowns,UNKNOWN,26.825,0.351,,,0.20,38.164,0.537,Undetermined,,Undetermined,,,,
H38,K19,309,unknowns,UNKNOWN,26.850,0.376,,YES,0.50,34.717,6.324,Undetermined,,Undetermined,,,,
H38,K20,309,unknowns,UNKNOWN,26.704,0.230,,YES,0.50,34.900,5.549,Undetermined,,Undetermined,,,,
H38,K21,309,unknowns,UNKNOWN,26.744,0.270,,YES,0.50,34.790,6.004,Undetermined,,Undetermined,,,,
H38,K22,371,unknowns,UNKNOWN,26.650,0.176,,YES,0.50,35.889,2.735,Undetermined,,Undetermined,,,,
H38,K23,371,unknowns,UNKNOWN,26.696,0.222,,YES,0.50,36.840,1.385,Undetermined,,Undetermined,,,,
H38,K24,371,unknowns,UNKNOWN,26.722,0.248,,YES,0.50,35.145,4.656,Undetermined,,Undetermined,,,,
H38,L1,1880,unknowns,UNKNOWN,26.287,-0.187,,,0.20,37.999,0.605,Undetermined,,Undetermined,,,,
H38,L2,1880,unknowns,UNKNOWN,26.480,0.006,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,L3,1880,unknowns,UNKNOWN,26.662,0.188,,,0.20,38.455,0.436,Undetermined,,Undetermined,,,,
H38,L4,150,unknowns,UNKNOWN,26.638,0.164,,,0.20,36.189,2.206,Undetermined,,Undetermined,,,,
H38,L5,150,unknowns,UNKNOWN,26.594,0.120,,,0.20,35.355,4.007,Undetermined,,Undetermined,,,,
H38,L6,150,unknowns,UNKNOWN,26.526,0.052,,,0.20,34.847,5.762,Undetermined,,Undetermined,,,,
H38,L7,189,unknowns,UNKNOWN,26.619,0.145,,,0.20,33.976,10.748,Undetermined,,Undetermined,,,,
H38,L8,189,unknowns,UNKNOWN,26.613,0.139,,,0.20,34.317,8.418,Undetermined,,Undetermined,,,,
H38,L9,189,unknowns,UNKNOWN,26.677,0.203,,,0.20,33.909,11.274,Undetermined,,Undetermined,,,,
H38,L10,320,unknowns,UNKNOWN,26.590,0.116,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,L11,320,unknowns,UNKNOWN,26.641,0.167,,,0.20,38.94,0.308,Undetermined,,Undetermined,,,,
H38,L12,320,unknowns,UNKNOWN,26.702,0.228,,,0.20,36.227,2.147,Undetermined,,Undetermined,,,,
H38,L13,382,unknowns,UNKNOWN,26.663,0.189,,,0.20,36.358,1.956,Undetermined,,Undetermined,,,,
H38,L14,382,unknowns,UNKNOWN,26.714,0.240,,,0.20,36.470,1.805,Undetermined,,Undetermined,,,,
H38,L15,382,unknowns,UNKNOWN,26.805,0.331,,,0.20,36.240,2.128,Undetermined,,Undetermined,,,,
H38,L16,460,unknowns,UNKNOWN,26.677,0.203,,,0.20,29.776,216.837,Undetermined,,Undetermined,,,,
H38,L17,460,unknowns,UNKNOWN,26.520,0.046,,,0.20,29.441,275.535,Undetermined,,Undetermined,,,,
H38,L18,460,unknowns,UNKNOWN,26.779,0.305,,,0.20,29.571,251.063,Undetermined,,Undetermined,,,,
H38,L19,320,unknowns,UNKNOWN,26.864,0.390,,YES,0.50,35.954,2.610,Undetermined,,Undetermined,,,,
H38,L20,320,unknowns,UNKNOWN,26.914,0.440,,YES,0.50,36.678,1.555,Undetermined,,Undetermined,,,,
H38,L21,320,unknowns,UNKNOWN,26.833,0.359,,YES,0.50,37.223,1.053,Undetermined,,Undetermined,,,,
H38,L22,382,unknowns,UNKNOWN,26.601,0.127,,YES,0.50,34.606,6.848,Undetermined,,Undetermined,,,,
H38,L23,382,unknowns,UNKNOWN,26.616,0.142,,YES,0.50,35.631,3.289,Undetermined,,Undetermined,,,,
H38,L24,382,unknowns,UNKNOWN,26.821,0.347,,YES,0.50,37.081,1.166,Undetermined,,Undetermined,,,,
H38,M1,ntc,ntc,NTC,26.508,0.034,,,,Undetermined,,Undetermined,,Undetermined,,,,
