Sample_name,Locus,file1,file2
1544-1,16S_Prey,Locus_16S_Prey_1544-1_S114_L001_R1_001.fastq,Locus_16S_Prey_1544-1_S114_L001_R2_001.fastq
1544-2,16S_Prey,Locus_16S_Prey_1544-2_S115_L001_R1_001.fastq,Locus_16S_Prey_1544-2_S115_L001_R2_001.fastq
72-1,16S_Prey,Locus_16S_Prey_72-1_S116_L001_R1_001.fastq,Locus_16S_Prey_72-1_S116_L001_R2_001.fastq
1228-1,16S_Prey,Locus_16S_Prey_1228-1_S117_L001_R1_001.fastq,Locus_16S_Prey_1228-1_S117_L001_R2_001.fastq
1228-2,16S_Prey,Locus_16S_Prey_1228-2_S118_L001_R1_001.fastq,Locus_16S_Prey_1228-2_S118_L001_R2_001.fastq
503-1,16S_Prey,Locus_16S_Prey_503-1_S119_L001_R1_001.fastq,Locus_16S_Prey_503-1_S119_L001_R2_001.fastq
840-1,16S_Prey,Locus_16S_Prey_840-1_S120_L001_R1_001.fastq,Locus_16S_Prey_840-1_S120_L001_R2_001.fastq
996-1,16S_Prey,Locus_16S_Prey_996-1_S121_L001_R1_001.fastq,Locus_16S_Prey_996-1_S121_L001_R2_001.fastq
1541-1,16S_Prey,Locus_16S_Prey_1541-1_S122_L001_R1_001.fastq,Locus_16S_Prey_1541-1_S122_L001_R2_001.fastq
68-1,16S_Prey,Locus_16S_Prey_68-1_S123_L001_R1_001.fastq,Locus_16S_Prey_68-1_S123_L001_R2_001.fastq
80-1,16S_Prey,Locus_16S_Prey_80-1_S124_L001_R1_001.fastq,Locus_16S_Prey_80-1_S124_L001_R2_001.fastq
462-1,16S_Prey,Locus_16S_Prey_462-1_S125_L001_R1_001.fastq,Locus_16S_Prey_462-1_S125_L001_R2_001.fastq
462-2,16S_Prey,Locus_16S_Prey_462-2_S126_L001_R1_001.fastq,Locus_16S_Prey_462-2_S126_L001_R2_001.fastq
799-1,16S_Prey,Locus_16S_Prey_799-1_S127_L001_R1_001.fastq,Locus_16S_Prey_799-1_S127_L001_R2_001.fastq
799-2,16S_Prey,Locus_16S_Prey_799-2_S128_L001_R1_001.fastq,Locus_16S_Prey_799-2_S128_L001_R2_001.fastq
1575-1,16S_Prey,Locus_16S_Prey_1575-1_S129_L001_R1_001.fastq,Locus_16S_Prey_1575-1_S129_L001_R2_001.fastq
997-1,16S_Prey,Locus_16S_Prey_997-1_S130_L001_R1_001.fastq,Locus_16S_Prey_997-1_S130_L001_R2_001.fastq
Tilapia-1,16S_Prey,Locus_16S_Prey_Tilapia-1_S131_L001_R1_001.fastq,Locus_16S_Prey_Tilapia-1_S131_L001_R2_001.fastq
Tilapia-2,16S_Prey,Locus_16S_Prey_Tilapia-2_S132_L001_R1_001.fastq,Locus_16S_Prey_Tilapia-2_S132_L001_R2_001.fastq
