Sample_name,Locus,Hash,nReads
1001.2,16S_Prey,d16946209d740efffdc258091dfdb82a577921e8,572
1001.2,16S_Prey,8a71b09257e195e5dcbda97232b952600b109404,1630
1001.2,16S_Prey,795f3d4962d0be8950fb75f6d1fbdf522eef2a0d,1168
1001.2,16S_Prey,77eb3bad0f92b79d102243f3a1cce383b421ecc5,652
1001.2,16S_Prey,f666e4589943eed4c6f45745b0526e65ea13f53b,571
1001.2,16S_Prey,4518dfd79df7e703a75b86439b9d5f5df0262a71,214
1001.2,16S_Prey,182d20dc9c414205ce15c5233411ab851da5da6c,424
1001.2,16S_Prey,05645e36213d00c597130aa20777e9e0e59e63f4,367
1001.2,16S_Prey,083c3cccac12e7df87e701704f2ee7e5090de3f7,295
1001.2,16S_Prey,3a7278f1444eb42209e4a3c1f11d78c69c4e9f23,266
1001.2,16S_Prey,8a5951032f58b6892dc839defacb399d9d2b3cee,187
1001.2,16S_Prey,3b4705823ed46b4a49c98d48f80e4f3746b36c28,147
1001.2,16S_Prey,f53b01776b8f1d258c43a85cddc33ef7508d7ea3,87
1001.2,16S_Prey,86cb0dbb5c6740e30628a8265f19a0464e1ec130,4
1001.2,16S_Prey,829bc5bcf28228c5dcbc9989556059453a467aaa,2
1002.1,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,9428
1002.1,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,43206
1002.1,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,21617
1002.1,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,9398
1002.1,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,12115
1002.1,16S_Prey,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,245
1002.1,16S_Prey,6e9a86014ad3e5248de93f3de3f2e49f4f3cf61d,275
1002.1,16S_Prey,1e89e17d703adb95dc75f153882024f2b77a19e3,1105
1002.1,16S_Prey,30a3ed2122d9734df38fac9e672ea61193e80385,547
1002.1,16S_Prey,924a1afa1a137685c33261a4beba6a3c6b334e0a,760
1002.1,16S_Prey,995d2c784f73e37d57f2e2557ee3a318ecce3515,508
1002.1,16S_Prey,2a50ada14de227fb9f8e78922a7aa3ed0f53c308,222
1002.1,16S_Prey,907d256204716ce1226f2ca7fbbfa431dd868976,1303
1002.1,16S_Prey,06664b1698e1ae9cfb487217e5fb5e31796841db,1217
1002.1,16S_Prey,016017422aad96fb0e46701638f7197a9f953344,205
1002.1,16S_Prey,39c19230e39b4d55962266c37540e6791576891d,360
1002.1,16S_Prey,970cf2f478a0c8628a4a6ed33b902ab67d7e134b,251
1002.1,16S_Prey,308da908052c2fcb86f5a8c351b4fd0986a43ca8,1091
1002.1,16S_Prey,862596e77981372eb54cf1a5dc64b5323978823d,327
1002.1,16S_Prey,8ed9a7a39946d43d94ea67b3430b948d23c00c83,187
1002.1,16S_Prey,8a92e11c8fb98ac530a34b3a2fde263dca7951c1,549
1002.1,16S_Prey,94aceb222285d32fe6d7995e93261808ad4e2501,469
1002.1,16S_Prey,d2bae86e8acdfa0a9a7a58f58926b064a93348b9,417
1002.1,16S_Prey,14e0b070bad965a8c2fd0b7420477c3fdba695fd,363
1002.1,16S_Prey,52399d2078187aaae81134852fb55c4b66b2d452,335
1002.1,16S_Prey,0c17e9090a797476e14a346705d9daa460e0b390,296
1002.1,16S_Prey,e55b5aa6abd8ea269692c4dbb57f0d1ab68c3349,263
1002.1,16S_Prey,c28ef46d9f7cab48450690b7548f65394d57e487,247
