Miseq_run,Sample_name,Hash,nReads
Run8,1228-2,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,557
Run8,1228-2,0e9ec584677641b0ef85b9741494a6e388b038e0,11
Run8,1228-2,3802d4b9501e3e472bf8e2a83732fe982f37092d,428
Run8,1228-2,394941fe61578579e0311cf90225a8cdce9c63c9,11810
Run8,1228-2,3ab482e21ea3ad21ade385c562f6bdbe5430025a,368
Run8,1228-2,7edc82ae907368e2ba93f8d04552ca58def53f5b,557
Run8,1228-2,8f9d2f04549dd67c605bd31cb4ed3f04ec024476,238
Run8,1228-2,924a1afa1a137685c33261a4beba6a3c6b334e0a,87
Run8,1228-2,f6e520c585c6e62c0015e68ea53696c254e65b93,12
Run8,1265-1,08aacb004c63aa8c1da0e95397a90dae5d6d50fb,1077
Run8,1265-1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,8
Run8,1265-1,1c260ae9419e739591f74d225031df3ede0a3024,1925
Run8,1265-1,2fb5646688b830650dedef195788ecc210dea798,66
Run8,1265-1,394941fe61578579e0311cf90225a8cdce9c63c9,33
Run8,1265-1,5761b29dae70552f2944cbfef543dcc7c6e8ad2d,249
Run8,1265-1,66a2e20132d41fdf72b0d2469426ed0f923c276b,82
Run8,1265-1,963f7a24cc9289ad72b4074282ea7bb0ae6e274e,237
Run8,1265-1,b36a598a2cd1631e7002c2a9a6e180c49a664ea3,1004
Run8,1265-1,bc6103399de327d2bfce6c8c35b5014a8538c521,526
Run8,1265-1,ceeef90eb147b9672c36201812711d41250edff7,3
Run8,1265-1,cff2b564656fae832af95d3adcf93d36c12bf197,204
Run8,1265-1,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,56731
Run8,1265-1,e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,5
Run8,1265-1,f18057cade875e46f6bde4cf9da21a63c509b675,583
Run8,1265-2,0222ff6e5f94c827b73c7c88bb6a7d1cabbdc46c,599
Run8,1265-2,1c260ae9419e739591f74d225031df3ede0a3024,4013
Run8,1265-2,1f912d8e218793a771699bde5c9a863ae016d200,49
Run8,1265-2,374a6f37ec499fdeda60aebd11b1a7350cd85db1,1264
Run8,1265-2,4548d4783719b0979f7939a284ce771f5dc1a418,1455
Run8,1265-2,50f561ed51611e15fc217aef2ed342c64cb69792,49
Run8,1265-2,5abc18ff908ee949789e94be0fa21695f7300453,37
Run8,1265-2,5af4d0866cad361a5f1795bada731276c2b1ba63,309
Run8,1265-2,7d90fb2b750ef08ff057d964c305dd2ae445a3b3,53
Run8,1265-2,7e0b78ff122c92d9b92b99780c2bc77fd1f3be49,697
Run8,1265-2,8db28153be0db70b8912e8eba91913a22d88d7a1,830
Run8,1265-2,9c66ec0ecc54aadea2635d1e869eda7d8a65fab9,711
Run8,1265-2,a3921ebcc35ecc1b69804f469a59ab608b6b4a2e,47
Run8,1265-2,a392bcbf1c5a1b70a2f9292e3ff63f5e26283b74,1130
Run8,1265-2,bd421a903a87d0ab469c8cb7385778700d765aeb,639
Run8,1265-2,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,118911
Run8,1265-2,f18057cade875e46f6bde4cf9da21a63c509b675,999
Run8,1265-2,fb10ddc752dbf1f92d9212417cb950c1e7120436,445
Run8,1266-1,03b0625424ebd0ee6aff20c3c99a1fd8935ce6ca,905
Run8,1266-1,05ac13934097d8cfd02be86169b0a93acd023ab7,25
Run8,1266-1,06e42acbdda55f29a3fa7446e584e3164b9c48b2,1635
Run8,1266-1,54929c15cd1cbf3eb18df520f40ae1d0b38440c9,84
Run8,1266-1,75d71ba6a76008ba53d7d7c867a659a757f29374,2
Run8,1266-1,7de221449042e1da583f638bbc7dd6e0a353c851,11
Run8,1266-1,a77c9a996ca4450d56d2042b81d65cd47118af05,4399
Run8,1266-1,bb384b6d654e0d6e243a56c0b37b824d393560ce,224
Run8,1266-1,dcbeb4d642a7f8a2548ccddf85f31cd3d1210d2d,1386
Run8,1266-1,e0104fd7a12670db126a3b8a4893458519d3848e,96104
Run8,1266-1,effbff7038fdade8d2d86378c7d69a6fe1f0fb94,2821
Run8,1266-2,03b0625424ebd0ee6aff20c3c99a1fd8935ce6ca,411
Run8,1266-2,0f3013438ee0117d1ab96d6eae5f797e2f5b4cf5,19
Run8,1266-2,107801f1f7caacad32505b32825132101a9132d0,2254
Run8,1266-2,15992a61f12ee418892faf6a8bcb17dd21926c6a,188
Run8,1266-2,1e2ea93e8aed4a671aa650eb5c4f600573de5116,79
Run8,1266-2,58a1b209738e7c19202377629f53d29a63b36350,308
Run8,1266-2,623626aed01215a25bbe2f0b6b662b373feb7c9e,353
Run8,1266-2,6ba6c7d5c2e9a3f6700a8587aeb05081ed0cd137,145
Run8,1266-2,8653396aaca653eb83f817e8056fcedaa04deede,1680
Run8,1266-2,9f0fa1e3e84fb263182599000474789d450718ab,1323
Run8,1266-2,acf8af47ee375292bb2aac2fa615fea94b480e7c,1394
Run8,1266-2,b6909dd835c511e199695ee082977d486790419f,2495
Run8,1266-2,d0a56373d70f77c93b2480cb5616f45481702926,681
Run8,1266-2,e0104fd7a12670db126a3b8a4893458519d3848e,66105
Run8,1266-2,effbff7038fdade8d2d86378c7d69a6fe1f0fb94,1861
Run8,1274-2,1c260ae9419e739591f74d225031df3ede0a3024,1449
Run8,1274-2,1cdf8db0798df0754c8c0cb1fd93ff74302445dc,434
Run8,1274-2,261d750ce98e4d6770de08b69d3eac433396a7f1,453
Run8,1274-2,4548d4783719b0979f7939a284ce771f5dc1a418,386
Run8,1274-2,4e52cccdd5a47704be8e2f4a2a1529afe1af9504,2378
Run8,1274-2,aaafc68e0263936621e9621cbbdf29416d0bcb3a,219
Run8,1274-2,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,59035
Run8,1538-1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,5280
Run8,1538-1,283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,379
Run8,1538-1,28860ad64e931119c4f8c3be4f31ff601d1d7de5,9
Run8,1538-1,38cddaff603eedb4729f0578495feaef738e3ad5,319
Run8,1538-1,394941fe61578579e0311cf90225a8cdce9c63c9,2683
Run8,1538-1,4518dfd79df7e703a75b86439b9d5f5df0262a71,63
Run8,1538-1,56e4b38142bbddb2ad4df057a581708450c90a6e,139
Run8,1538-1,5af404705630e44509109eefa4b9839242d2db0f,587
Run8,1538-1,6f82f43f82ba04cad4262f48e69ee29a37a06336,547
Run8,1538-1,74066494c72c1695219c035c049f10e696375826,244
Run8,1538-1,7c0e3facf31e718f6c2c36e016664b5a9b34e1c7,91
Run8,1538-1,7de221449042e1da583f638bbc7dd6e0a353c851,8002
Run8,1538-1,8f9d2f04549dd67c605bd31cb4ed3f04ec024476,768
Run8,1538-1,995d2c784f73e37d57f2e2557ee3a318ecce3515,48
Run8,1538-1,a23bd7e9d3952e8281f5755a3ea973ebcfd63b1a,1001
Run8,1538-1,c5b9a4f8b4acd87572a5e574825733d91fb6e8b6,182
Run8,1538-1,c6c5b7902b46dfac3bb7710da4fa63b6d05b597b,216
Run8,1538-1,d1f112bb436a15107d6f8e0563ecceaa7bceecd0,408
Run8,1538-1,d661f8f447e8774603e13671a48f68bca4056e19,6
Run8,1538-1,db2b65dd77635828f6ba4e9845c212a57b37e7ef,9327
Run8,1538-1,e71684194a2a061ff7daa95baf0472a01cda855b,10896
Run8,1538-1,ecc2f363c423d089d91fca56824c2a0afa49654d,82
Run8,1538-1,f7e2202aaacc581ac0b4d2954386e97ee6086b12,10
Run8,1538-1,fd0ebe9a82e24bf58d2c80c03823ad0bcecf6482,8
Run8,1538-2,04a2fb474c48f8f20ae1ec89d22ff23a0cdaf491,1636
Run8,1538-2,053b441f31c1dd1c80b1228d64ec37de327d9f2d,203
Run8,1538-2,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,1636
Run8,1538-2,103e4aaaad507e5cb854065c51432fe94401bfdd,768
Run8,1538-2,11b1d224418316f8ff6c8cabe7b2f8849c81aabf,111
Run8,1538-2,16f694e984df8752de9473d43be37b1714ff212c,2
Run8,1538-2,1ca22ea4787da1ac20c726bfef53e63941131f8d,85
Run8,1538-2,28860ad64e931119c4f8c3be4f31ff601d1d7de5,12
Run8,1538-2,394941fe61578579e0311cf90225a8cdce9c63c9,9358
Run8,1538-2,4518dfd79df7e703a75b86439b9d5f5df0262a71,212
Run8,1538-2,61d9050320210369b587200ccd876a42bfd52e9d,604
Run8,1538-2,627d0332bb378bc10a43636d22a7412bb39f3274,134
Run8,1538-2,63c9c2740582c480fe995c3fbe6b76444b75b8da,562
Run8,1538-2,70db8f5e84024a80d8b6d85f469fc3011130c18d,210
Run8,1538-2,74066494c72c1695219c035c049f10e696375826,375
Run8,1538-2,756d25500a3ecab9f96161f6a9998fa34c9df4cd,4
Run8,1538-2,7de221449042e1da583f638bbc7dd6e0a353c851,21788
Run8,1538-2,7edc82ae907368e2ba93f8d04552ca58def53f5b,432
Run8,1538-2,842cfc7a1aa4a7540af670a1adb31106e55d5744,177
Run8,1538-2,8d4bef591f3a040ba04bfdfc4b08e1c086fd91ce,213
Run8,1538-2,90be5fb8eedf85609e7464ddb32d70e18ca73bf3,147
Run8,1538-2,925dc4789d2663610cc85b01aa6bc9a9a3dd13cd,100
Run8,1538-2,954f0497a583f03ee82b1b4e549290707458d25a,129
Run8,1538-2,995d2c784f73e37d57f2e2557ee3a318ecce3515,86
Run8,1538-2,aac6ce80fcbb1ee99e6911697c62f04a6968b0af,809
Run8,1538-2,b67ae1b2fd3f802ade2f9e74e8e4e07cf3c8dd79,2280
Run8,1538-2,b78edca048766f88d5bab588ba84246211283e0c,6913
Run8,1538-2,c42c6ebf867aaf3762d7d0d9a92608f8425018b8,194
Run8,1538-2,c4addd2df92888b6844be5a0e862f4e417b0e36e,1987
Run8,1538-2,c5c9292b1299f44d8ef53d164ecf420695e5f686,10143
Run8,1538-2,cba175b24180bd184cfb895fb0e9850faf3bb7eb,219
Run8,1538-2,cdf1fdbaf1db4aca50742d2a8464fb9e87a1e677,83
Run8,1538-2,d1a4732ea34b7e9a11f72f3d03459bba81f38de8,232
Run8,1538-2,db2b65dd77635828f6ba4e9845c212a57b37e7ef,42689
Run8,1538-2,ddffdd8c09ab1baff6d03a500e0ab282711dc951,61
Run8,1538-2,e71684194a2a061ff7daa95baf0472a01cda855b,42458
Run8,1538-2,f111c467a3617baac2f464b82263c3595620ec22,359
Run8,1538-3,394941fe61578579e0311cf90225a8cdce9c63c9,1934
Run8,1538-3,4518dfd79df7e703a75b86439b9d5f5df0262a71,117
Run8,1538-3,6f82f43f82ba04cad4262f48e69ee29a37a06336,1986
Run8,1538-3,74066494c72c1695219c035c049f10e696375826,1550
Run8,1538-3,8282975503764b58758c699a704c71ce5e73b75a,314
Run8,1538-3,a8558f63c0ce3d4476ed30feda21ee15fa374057,125
Run8,1538-3,b6e68f8483dbd565f6d67e43ac5cfdda1e499c21,122
Run8,1538-3,db2b65dd77635828f6ba4e9845c212a57b37e7ef,4024
Run8,1538-3,ddffdd8c09ab1baff6d03a500e0ab282711dc951,952
Run8,1538-3,e71684194a2a061ff7daa95baf0472a01cda855b,1135
Run8,1538-4,010cea69d05c12d62bbd81d61b9b44c513f283c8,39
Run8,1538-4,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,12282
Run8,1538-4,18ec2bbb2afd906c078b97d68ba34b138d5b2972,231
Run8,1538-4,1d3cc44375ba972ee246571ff4adaefe53fb4351,141
Run8,1538-4,1e3cc66ea46343e9b8ec9f783266b5ad470b0a89,32
Run8,1538-4,283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,2859
Run8,1538-4,28860ad64e931119c4f8c3be4f31ff601d1d7de5,176
Run8,1538-4,2dc7b1c32e68a132f7b42b1acaf4aa5680d5f381,762
Run8,1538-4,2f8d01b1086ca4616a288b6536d15f94b43daf5a,11
Run8,1538-4,327334d08a8db7733a537c33c7bd1e4b9896c736,233
Run8,1538-4,394941fe61578579e0311cf90225a8cdce9c63c9,7895
Run8,1538-4,4518dfd79df7e703a75b86439b9d5f5df0262a71,122
Run8,1538-4,4d5d715c9b98ea9e70c9463f08c409ad473b30b0,411
Run8,1538-4,61ef880bcb7a6641334e93e055336117da13b228,183
Run8,1538-4,705dfdbc0a8ad4e11af19f4bc0503846417087f9,505
Run8,1538-4,74066494c72c1695219c035c049f10e696375826,2156
Run8,1538-4,7de221449042e1da583f638bbc7dd6e0a353c851,10961
Run8,1538-4,8616e9b7dc1abf4614323ed14678e07e439b0ee8,60
Run8,1538-4,924a1afa1a137685c33261a4beba6a3c6b334e0a,104
Run8,1538-4,995d2c784f73e37d57f2e2557ee3a318ecce3515,111
Run8,1538-4,d1a4732ea34b7e9a11f72f3d03459bba81f38de8,212
Run8,1538-4,d1f112bb436a15107d6f8e0563ecceaa7bceecd0,132
Run8,1538-4,d45aca9e4fa89f491c9ecbc76bd8ff1de8ce55d9,1743
Run8,1538-4,db2b65dd77635828f6ba4e9845c212a57b37e7ef,10505
Run8,1538-4,e71684194a2a061ff7daa95baf0472a01cda855b,16127
Run8,1539-1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,3418
Run8,1539-1,394941fe61578579e0311cf90225a8cdce9c63c9,69
Run8,1539-1,42737cd65bab38b57ea8949256ab1dbc59f5d054,1116
Run8,1539-1,7de221449042e1da583f638bbc7dd6e0a353c851,4401
Run8,1539-1,cde6f4a6b5280c9eaf7695f62f4df6bb3f7b122d,4850
Run8,1539-1,db2b65dd77635828f6ba4e9845c212a57b37e7ef,2038
Run8,1539-1,e71684194a2a061ff7daa95baf0472a01cda855b,496
Run8,1539-2,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,6881
Run8,1539-2,27957660a97efa9a9104bb5329b3b2fd120cf083,1010
Run8,1539-2,394941fe61578579e0311cf90225a8cdce9c63c9,735
Run8,1539-2,42737cd65bab38b57ea8949256ab1dbc59f5d054,314
Run8,1539-2,4575cd27feda75778add2451f48c8c526c8bfa91,128
Run8,1539-2,55f018e03e10b6a315dbabf0f860d0b9ddc2ba6b,79
Run8,1539-2,5fd4194a5285102e8fb7e56533d4365c337b2f41,186
Run8,1539-2,760fc3cb05911cd49affeee1052ade0166c54bc9,2699
Run8,1539-2,8ee1e75caddc048984ecfbce92295cb8a6871903,2947
Run8,1539-2,a23bd7e9d3952e8281f5755a3ea973ebcfd63b1a,2595
Run8,1539-2,bd2c9008e805e7c7e00b75a42efee305a23039c1,7097
Run8,1539-2,cde6f4a6b5280c9eaf7695f62f4df6bb3f7b122d,6801
Run8,1539-2,e0a66156f16992390d693fae43f4c96c44d57661,129
Run8,1539-2,e4de1147ffb87d6a472ab2196df24449ba66b95d,104
Run8,1539-2,e71684194a2a061ff7daa95baf0472a01cda855b,3710
Run8,1539-2,f39321c85eb572ae422133d6384db40b6f8e1f23,332
Run8,1540-1,1437cd7c75f0aeb794489953faec00bbcaf5fcb7,342
Run8,1540-1,2693665d1b9f571cfb60dd02cbdf6eb29740efca,353
Run8,1540-1,27957660a97efa9a9104bb5329b3b2fd120cf083,42
Run8,1540-1,394941fe61578579e0311cf90225a8cdce9c63c9,1620
Run8,1540-1,3d043e9dfc25283ca1d8a69dbc2fdea4200726d4,162
Run8,1540-1,6e82711d6515a0aec2808ae8be7d99113f3f5f64,117
Run8,1540-1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,189
Run8,1540-1,7de221449042e1da583f638bbc7dd6e0a353c851,3561
Run8,1540-1,8c6e7524ee5e7299693dbbfdbea8dc2e141c5d9c,68
Run8,1540-1,96c13d97629e052ded5bf89e4ed88dce79f41241,437
Run8,1540-1,a1c68f3638f8a7fd017974f0170919b2a964eb3b,67
Run8,1540-1,bd2c9008e805e7c7e00b75a42efee305a23039c1,867
Run8,1540-1,bdcab97c74ec1cbd2a7680774a49153734a44cb7,154
Run8,1540-1,d1f112bb436a15107d6f8e0563ecceaa7bceecd0,310
