Hash,class,order,family,genus,species,origin
717e58da22f2637913ead022154103b6cccea071,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
826866b7d6c33f0f05882fab93f583afdae544ab,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
61d9050320210369b587200ccd876a42bfd52e9d,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
c0712bac1ac5b72e4d3caf2bcedac6c2900439ae,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
77d8b8e119a46718a107ad5826fda5bd57803bf3,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
36937664ad0e45d578d0fd56060c49a1ed8a264c,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
8d4bef591f3a040ba04bfdfc4b08e1c086fd91ce,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
61ef880bcb7a6641334e93e055336117da13b228,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
a3c72116240d881d875f02837edef13f6fe04405,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
26a6d8e5b4e5f20fb8a950159c48f16f7e02aa77,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
a2a12fe8c745e839523257a7be21189656062f80,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
fddc37d180e2c9153592ec35fa0e8b8e89128e20,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
1ca22ea4787da1ac20c726bfef53e63941131f8d,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
579711b26222cc585d56a52f740e2f4819ede762,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
e0104fd7a12670db126a3b8a4893458519d3848e,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
effbff7038fdade8d2d86378c7d69a6fe1f0fb94,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
a77c9a996ca4450d56d2042b81d65cd47118af05,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
b6909dd835c511e199695ee082977d486790419f,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
107801f1f7caacad32505b32825132101a9132d0,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
8653396aaca653eb83f817e8056fcedaa04deede,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
06e42acbdda55f29a3fa7446e584e3164b9c48b2,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
acf8af47ee375292bb2aac2fa615fea94b480e7c,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
dcbeb4d642a7f8a2548ccddf85f31cd3d1210d2d,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
9f0fa1e3e84fb263182599000474789d450718ab,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
03b0625424ebd0ee6aff20c3c99a1fd8935ce6ca,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
d0a56373d70f77c93b2480cb5616f45481702926,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
623626aed01215a25bbe2f0b6b662b373feb7c9e,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
bb384b6d654e0d6e243a56c0b37b824d393560ce,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
cc5a612d14554c94948fd833e5ef1154945358c7,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
58a1b209738e7c19202377629f53d29a63b36350,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
15992a61f12ee418892faf6a8bcb17dd21926c6a,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
6ba6c7d5c2e9a3f6700a8587aeb05081ed0cd137,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,blast
e71684194a2a061ff7daa95baf0472a01cda855b,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja binoculata,agreed
