Hash,class,order,family,genus,species,origin
80b5efacf40c5a62476927eb835708c4d641c1eb,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
707ea043c2694184efff9c8c83b633dac68dcabf,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,agreed
99a381b3da53cf684d81bfb9cd77042f17d1eb1d,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
a0633d287f53f36bec8aae79ccaee2ba8f453277,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
7c3dcbf4416f9ad2ea59bb77e47b65a84161960f,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
9ac4a06802a5cc4aebcdda699036f9e4c71b9865,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
5e168c514a30d5c11a4cc29173fe7cee34d6ab82,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
bb2963cf4e6f1bbc0626abb55a78b4ce9e966962,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
a8bd2df8330a806ccbf09e73aa7dcae328303f20,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
baa5019d59baf3dcd6c53b9b59b19d947d9db0c7,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
d7d51b09b443945b2a3c9611e53b29d18b8e5d69,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
f7e273df2d8469d701275fb06c3f9d3bb799dc70,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
04098c0a61c8a7a09eed8362692abda639010a32,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
b8f0541ddd440252764c6ddcbb34e1b504d2f9d8,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
9951a45ddbc4a9810875b9e744b6ea5462e4b904,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
37adf2b404dca80a228d1291736ac953d4f8fc38,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
c5eb5601b06f73d8beb960bd6d160a1f0682f14f,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
e661bea54d44e409a1df747f9f333b9899ee5dca,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
ca511ca01678969934a9b58dbd1193ed70bc1d6b,Actinopteri,Argentiniformes,Bathylagidae,NA,NA,agreed
