Var1,Var2,value
UDP0107,UDP0004,0.8
UDP0108,UDP0004,0.5
UDP0109,UDP0004,0.8
UDP0110,UDP0004,0.9
UDP0111,UDP0004,0.5
UDP0112,UDP0004,0.9
UDP0113,UDP0004,0.6
UDP0114,UDP0004,0.9
UDP0115,UDP0004,0.8
UDP0116,UDP0004,0.5
UDP0117,UDP0004,0.9
UDP0118,UDP0004,0.7
UDP0119,UDP0004,0.8
UDP0120,UDP0004,0.7
UDP0121,UDP0004,0.8
UDP0122,UDP0004,0.9
UDP0123,UDP0004,0.6
UDP0124,UDP0004,0.6
UDP0125,UDP0004,0.6
UDP0126,UDP0004,0.7
UDP0127,UDP0004,0.8
UDP0128,UDP0004,0.7
UDP0129,UDP0004,0.8
UDP0130,UDP0004,0.6
UDP0131,UDP0004,0.9
UDP0132,UDP0004,0.7
UDP0133,UDP0004,0.8
UDP0134,UDP0004,0.7
UDP0135,UDP0004,0.8
UDP0136,UDP0004,1
UDP0137,UDP0004,1
UDP0138,UDP0004,0.6
UDP0139,UDP0004,0.9
UDP0140,UDP0004,0.8
UDP0141,UDP0004,0.8
UDP0142,UDP0004,0.7
UDP0143,UDP0004,0.5
UDP0144,UDP0004,0.4
UDP0145,UDP0004,0.9
UDP0146,UDP0004,0.9
UDP0147,UDP0004,0.9
UDP0148,UDP0004,0.7
UDP0149,UDP0004,0.6
UDP0150,UDP0004,0.8
UDP0151,UDP0004,0.7
UDP0152,UDP0004,1
UDP0153,UDP0004,0.7
UDP0154,UDP0004,0.7
UDP0155,UDP0004,0.5
UDP0156,UDP0004,0.8
UDP0157,UDP0004,0.7
UDP0158,UDP0004,1
UDP0159,UDP0004,0.7
UDP0160,UDP0004,0.7
UDP0161,UDP0004,0.7
UDP0162,UDP0004,0.8
UDP0163,UDP0004,0.6
UDP0164,UDP0004,0.6
UDP0165,UDP0004,0.6
UDP0166,UDP0004,0.8
UDP0167,UDP0004,0.5
UDP0168,UDP0004,0.8
UDP0169,UDP0004,0.6
UDP0170,UDP0004,0.6
UDP0171,UDP0004,0.7
UDP0172,UDP0004,0.6
UDP0173,UDP0004,0.8
UDP0174,UDP0004,0.7
UDP0175,UDP0004,0.6
UDP0176,UDP0004,0.7
UDP0177,UDP0004,0.6
UDP0178,UDP0004,0.7
UDP0179,UDP0004,0.7
UDP0180,UDP0004,1
UDP0181,UDP0004,0.6
UDP0182,UDP0004,0.6
UDP0183,UDP0004,0.6
UDP0184,UDP0004,0.6
UDP0185,UDP0004,0.7
UDP0186,UDP0004,0.7
UDP0187,UDP0004,0.7
UDP0188,UDP0004,0.9
UDP0189,UDP0004,0.9
UDP0190,UDP0004,0.8
UDP0191,UDP0004,0.8
UDP0192,UDP0004,0.8
UDP0001,UDP0005,0.6
UDP0002,UDP0005,0.8
UDP0003,UDP0005,0.8
UDP0004,UDP0005,1
UDP0005,UDP0005,0
UDP0006,UDP0005,0.8
UDP0007,UDP0005,0.7
UDP0008,UDP0005,0.6
UDP0009,UDP0005,0.6
UDP0010,UDP0005,0.6
UDP0011,UDP0005,0.7
UDP0012,UDP0005,0.8
UDP0013,UDP0005,0.5
UDP0014,UDP0005,0.6
UDP0015,UDP0005,0.9
UDP0016,UDP0005,1
UDP0017,UDP0005,0.6
UDP0018,UDP0005,0.8
UDP0019,UDP0005,0.9
UDP0020,UDP0005,0.6
UDP0021,UDP0005,0.9
UDP0022,UDP0005,0.8
UDP0023,UDP0005,0.9
UDP0024,UDP0005,0.6
UDP0025,UDP0005,0.5
UDP0026,UDP0005,0.9
UDP0027,UDP0005,0.7
UDP0028,UDP0005,0.7
UDP0029,UDP0005,0.6
UDP0030,UDP0005,0.9
UDP0031,UDP0005,0.8
UDP0032,UDP0005,0.7
UDP0033,UDP0005,1
UDP0034,UDP0005,0.6
UDP0035,UDP0005,0.8
UDP0036,UDP0005,0.6
UDP0037,UDP0005,0.9
UDP0038,UDP0005,0.6
UDP0039,UDP0005,0.7
UDP0040,UDP0005,0.6
UDP0041,UDP0005,0.9
UDP0042,UDP0005,0.7
UDP0043,UDP0005,1
UDP0044,UDP0005,0.9
UDP0045,UDP0005,0.7
UDP0046,UDP0005,0.6
UDP0047,UDP0005,0.5
UDP0048,UDP0005,0.8
UDP0049,UDP0005,0.9
UDP0050,UDP0005,0.5
UDP0051,UDP0005,0.8
UDP0052,UDP0005,0.8
UDP0053,UDP0005,0.7
UDP0054,UDP0005,0.7
UDP0055,UDP0005,0.6
UDP0056,UDP0005,0.7
UDP0057,UDP0005,0.8
UDP0058,UDP0005,0.8
UDP0059,UDP0005,0.8
UDP0060,UDP0005,0.9
UDP0061,UDP0005,0.7
UDP0062,UDP0005,0.5
UDP0063,UDP0005,0.8
UDP0064,UDP0005,1
UDP0065,UDP0005,0.8
UDP0066,UDP0005,0.9
UDP0067,UDP0005,0.9
UDP0068,UDP0005,0.5
UDP0069,UDP0005,0.8
UDP0070,UDP0005,0.7
UDP0071,UDP0005,0.9
UDP0072,UDP0005,0.7
UDP0073,UDP0005,0.8
UDP0074,UDP0005,0.8
UDP0075,UDP0005,0.8
UDP0076,UDP0005,0.9
UDP0077,UDP0005,0.7
UDP0078,UDP0005,0.7
UDP0079,UDP0005,0.7
UDP0080,UDP0005,0.6
UDP0081,UDP0005,1
UDP0082,UDP0005,0.6
UDP0083,UDP0005,0.7
UDP0084,UDP0005,1
UDP0085,UDP0005,0.7
UDP0086,UDP0005,0.7
UDP0087,UDP0005,0.9
UDP0088,UDP0005,0.5
UDP0089,UDP0005,0.7
UDP0090,UDP0005,0.9
UDP0091,UDP0005,0.8
UDP0092,UDP0005,0.7
UDP0093,UDP0005,0.9
UDP0094,UDP0005,0.5
UDP0095,UDP0005,0.9
UDP0096,UDP0005,0.8
UDP0097,UDP0005,0.8
UDP0098,UDP0005,0.5
UDP0099,UDP0005,0.8
UDP0100,UDP0005,0.8
UDP0101,UDP0005,0.8
UDP0102,UDP0005,0.7
UDP0103,UDP0005,0.6
UDP0104,UDP0005,0.7
UDP0105,UDP0005,0.8
UDP0106,UDP0005,0.7
UDP0107,UDP0005,0.5
UDP0108,UDP0005,0.9
UDP0109,UDP0005,0.5
UDP0110,UDP0005,0.9
