eDNA.sample,Station,stop,bottom.depth.consensus,CTD_Cast,Thermocline_depth,Thermocline_strength,Transect,position,depth,lat,lon,Openness,groups,Distance_to_thermocline,Distance_to_seafloor
1537,77-1,1,53.05,247,6.477,5.098723024160524,77,seafloor,50,47.063255,-124.396465,Onshore,Stratified,43.522999999999996,3.049999999999997
1538,77-1,1,53.05,247,6.477,5.098723024160524,77,seafloor,50,47.063255,-124.396465,Onshore,Stratified,43.522999999999996,3.049999999999997
1539,77-1,1,53.05,247,6.477,5.098723024160524,77,below,25,47.063255,-124.396465,Onshore,Stratified,18.523,28.049999999999997
1540,77-1,1,53.05,247,6.477,5.098723024160524,77,below,25,47.063255,-124.396465,Onshore,Stratified,18.523,28.049999999999997
1541,77-2,2,153.87,248,6.721,2.4562167556527417,77,above,0,47.06391667,-124.8705967,Mid,Stratified,-6.721,153.87
1543,77-2,2,153.87,248,6.721,2.4562167556527417,77,seafloor,143,47.06391667,-124.8705967,Mid,Stratified,136.279,10.870000000000005
1544,77-2,2,153.87,248,6.721,2.4562167556527417,77,seafloor,143,47.06391667,-124.8705967,Mid,Stratified,136.279,10.870000000000005
1547,77-2,2,153.87,248,6.721,2.4562167556527417,77,below,50,47.06391667,-124.8705967,Mid,Stratified,43.278999999999996,103.87
1548,77-2,2,153.87,248,6.721,2.4562167556527417,77,below,50,47.06391667,-124.8705967,Mid,Stratified,43.278999999999996,103.87
1573,77-6,6,1482,251,15.349,2.30416231937145,77,above,0,47.06442,-125.2157667,Mid,Stratified,-15.349,1482
1574,77-6,6,1482,251,15.349,2.30416231937145,77,above,0,47.06442,-125.2157667,Mid,Stratified,-15.349,1482
1575,77-6,6,1482,251,15.349,2.30416231937145,77,below,500,47.06442,-125.2157667,Mid,Stratified,484.651,982
1719,81-1,1,53.73,264,3.622,-0.00571215039052397,81,above,0,47.72953333,-124.680385,Onshore,Mixed,-3.622,53.73
1723,81-1,1,53.73,264,3.622,-0.00571215039052397,81,below,25,47.72953333,-124.680385,Onshore,Mixed,21.378,28.729999999999997
1725,81-1,1,53.73,264,3.622,-0.00571215039052397,81,above,3,47.72953333,-124.680385,Onshore,Mixed,-0.6219999999999999,50.73
1755,81-5,5,782.83,267,11.516,2.261562061785522,81,below,50,47.73109333,-125.2471967,Mid,Stratified,38.484,732.83
1756,81-5,5,782.83,267,11.516,2.261562061785522,81,below,50,47.73109333,-125.2471967,Mid,Stratified,38.484,732.83
1769,81-9,9,1121.42,269,22.98,1.5893634549153841,81,above,0,47.73233,-125.742555,Mid,Mixed,-22.98,1121.42
1770,81-9,9,1121.42,269,22.98,1.5893634549153841,81,above,0,47.73233,-125.742555,Mid,Mixed,-22.98,1121.42
1779,81-9,9,1121.42,269,22.98,1.5893634549153841,81,below,50,47.73233,-125.742555,Mid,Mixed,27.02,1071.42
1780,81-9,9,1121.42,269,22.98,1.5893634549153841,81,below,50,47.73233,-125.742555,Mid,Mixed,27.02,1071.42
