taxon,family,genus,species,diet,morphology,habitat use,life history,diel migration,size(mm),source,new.morphotype,...13,npoints
Sebastidae%Sebastes%Sebastes sp. UW150000|glaucus|matsubarae|vulpes|aleutianus|trivittatus|borealis|proriger|diploproa,Sebastidae,Sebastes,Sebastes sp. UW150000|glaucus|matsubarae|vulpes|aleutianus|trivittatus|borealis|proriger|diploproa,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,3
Sebastidae%Sebastes%Sebastes sp. UW150443|emphaeus|variegatus|wilsoni|zacentrus,Sebastidae,Sebastes,Sebastes sp. UW150443|emphaeus|variegatus|wilsoni|zacentrus,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,13
Sebastidae%Sebastolobus%Sebastolobus altivelis,Sebastidae,Sebastolobus,Sebastolobus altivelis,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Squalidae%Squalus%Squalus acanthias,Squalidae,Squalus,Squalus acanthias,NA,Shark,"seafloor, deep",NA,NA,NA,NA,"seafloor, deep",Marine; brackish; benthopelagic,13
Stichaeidae%Poroclinus%Poroclinus rothrocki,Stichaeidae,Poroclinus,Poroclinus rothrocki,NA,eelpouts,"seafloor, deep",NA,NA,NA,NA,"seafloor, deep",Marine; demersal,1
Stomiidae%Tactostoma%Tactostoma macropus,Stomiidae,Tactostoma,Tactostoma macropus,NA,eelpouts,"seafloor, deep",NA,NA,NA,NA,"seafloor, deep",Marine; bathypelagic,3
Zaniolepididae%Zaniolepis%NA,Zaniolepididae,Zaniolepis,NA,NA,sculpin,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,2
Zaniolepididae%Zaniolepis%Zaniolepis latipinnis,Zaniolepididae,Zaniolepis,Zaniolepis latipinnis,NA,sculpin,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,1
Zoarcidae%Lycodapus%Lycodapus mandibularis,Zoarcidae,Lycodapus,Lycodapus mandibularis,NA,eelpouts,seafloor,NA,NA,NA,NA,seafloor,Marine; bathypelagic,1
Zoarcidae%Lycodes%Lycodes cortezianus,Zoarcidae,Lycodes,Lycodes cortezianus,NA,eelpouts,seafloor,NA,NA,NA,NA,seafloor,Marine; bathypelagic,1
Zoarcidae%Lycodes%Lycodes diapterus,Zoarcidae,Lycodes,Lycodes diapterus,NA,eelpouts,seafloor,NA,NA,NA,NA,seafloor,Marine; bathypelagic,1
Zoarcidae%NA%NA,Zoarcidae,NA,NA,NA,eelpouts,seafloor,NA,NA,NA,NA,seafloor,Marine; bathypelagic,7
