Date UTC,Tube #,CTD cast,Niskin,depth,comments,extraction,comments,qubit (ng/ul),water filtered (L),elution (ul),Fluor,Zymo columns
7/5/2019,114,27-4,7,100,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.015,
7/5/2019,115,27-4,8,100,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.015,
7/5/2019,116,27-4,9,50,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.02868,
7/5/2019,117,27-4,10,50,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.02868,
7/5/2019,118,27-4,sfc,sfc,took longer to filter,1/6/2019,"Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,7.8637,
7/5/2019,119,27-4,sfc,sfc,took longer to filter,1/6/2019,"Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,7.8637,
7/5/2019,120,27-2,1,145,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.01605,
7/5/2019,121,27-2,2,145,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.01605,
7/5/2019,122,27-2,3,100,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.00687,
7/5/2019,123,27-2,4,100,,1/8/2020,"No visible pellet. Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.00687,
7/5/2019,124,27-2,5,50,"ST, only about 2L",1/8/2020,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.76536,
7/5/2019,125,27-2,6,50,ST,1/8/2020,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,0.76536,
7/5/2019,126,27-2,sfc,sfc,,1/8/2020,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,5.47742,
7/5/2019,127,27-2,sfc,sfc,,1/8/2020,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,,5.47742,
