eDNA.sample,rep,Transect,position,depth,func.group,nReads
285,1,35,1,25,Open; pelagic-neritic,0
285,1,35,1,25,Coastal; benthopelagic,28464
285,1,35,1,25,Marine; bathypelagic,0
285,1,35,1,25,Coastal; demersal,0
285,2,35,1,25,Marine; benthopelagic,0
285,2,35,1,25,Open; demersal,13370
285,2,35,1,25,Coastal;pelagic-neritic,0
285,2,35,1,25,Marine; pelagic-oceanic,0
285,2,35,1,25,Open; pelagic-neritic,0
285,2,35,1,25,Coastal; benthopelagic,0
285,2,35,1,25,Marine; bathypelagic,0
285,2,35,1,25,Coastal; demersal,0
286,1,35,1,0,Marine; benthopelagic,0
286,1,35,1,0,Open; demersal,12178
286,1,35,1,0,Coastal;pelagic-neritic,3550
286,1,35,1,0,Marine; pelagic-oceanic,0
286,1,35,1,0,Open; pelagic-neritic,20
286,1,35,1,0,Coastal; benthopelagic,83573
286,1,35,1,0,Marine; bathypelagic,0
286,1,35,1,0,Coastal; demersal,0
287,1,35,1,0,Marine; benthopelagic,0
287,1,35,1,0,Open; demersal,19843
287,1,35,1,0,Coastal;pelagic-neritic,41087
287,1,35,1,0,Marine; pelagic-oceanic,8
287,1,35,1,0,Open; pelagic-neritic,0
287,1,35,1,0,Coastal; benthopelagic,0
287,1,35,1,0,Marine; bathypelagic,0
287,1,35,1,0,Coastal; demersal,9
287,2,35,1,0,Marine; benthopelagic,0
287,2,35,1,0,Open; demersal,17128
287,2,35,1,0,Coastal;pelagic-neritic,30947
287,2,35,1,0,Marine; pelagic-oceanic,0
287,2,35,1,0,Open; pelagic-neritic,0
287,2,35,1,0,Coastal; benthopelagic,0
287,2,35,1,0,Marine; bathypelagic,0
287,2,35,1,0,Coastal; demersal,0
310,2,35,7,500,Marine; benthopelagic,0
310,2,35,7,500,Open; demersal,7
310,2,35,7,500,Coastal;pelagic-neritic,0
310,2,35,7,500,Marine; pelagic-oceanic,4
310,2,35,7,500,Open; pelagic-neritic,0
310,2,35,7,500,Coastal; benthopelagic,0
310,2,35,7,500,Marine; bathypelagic,119253
310,2,35,7,500,Coastal; demersal,0
311,1,35,7,500,Marine; benthopelagic,0
311,1,35,7,500,Open; demersal,0
311,1,35,7,500,Coastal;pelagic-neritic,0
311,1,35,7,500,Marine; pelagic-oceanic,100
311,1,35,7,500,Open; pelagic-neritic,43839
311,1,35,7,500,Coastal; benthopelagic,0
311,1,35,7,500,Marine; bathypelagic,43137
311,1,35,7,500,Coastal; demersal,0
318,1,35,7,50,Marine; benthopelagic,0
318,1,35,7,50,Open; demersal,0
318,1,35,7,50,Coastal;pelagic-neritic,0
318,1,35,7,50,Marine; pelagic-oceanic,96147
318,1,35,7,50,Open; pelagic-neritic,648
318,1,35,7,50,Coastal; benthopelagic,0
318,1,35,7,50,Marine; bathypelagic,0
318,1,35,7,50,Coastal; demersal,0
318,2,35,7,50,Marine; benthopelagic,0
318,2,35,7,50,Open; demersal,0
318,2,35,7,50,Coastal;pelagic-neritic,0
318,2,35,7,50,Marine; pelagic-oceanic,67126
318,2,35,7,50,Open; pelagic-neritic,0
318,2,35,7,50,Coastal; benthopelagic,1503
318,2,35,7,50,Marine; bathypelagic,0
318,2,35,7,50,Coastal; demersal,0
319,2,35,7,50,Marine; benthopelagic,0
319,2,35,7,50,Open; demersal,4
319,2,35,7,50,Coastal;pelagic-neritic,0
319,2,35,7,50,Marine; pelagic-oceanic,66340
319,2,35,7,50,Open; pelagic-neritic,0
319,2,35,7,50,Coastal; benthopelagic,0
319,2,35,7,50,Marine; bathypelagic,0
319,2,35,7,50,Coastal; demersal,0
320,1,35,7,0,Marine; benthopelagic,0
320,1,35,7,0,Open; demersal,125021
320,1,35,7,0,Coastal;pelagic-neritic,0
320,1,35,7,0,Marine; pelagic-oceanic,0
320,1,35,7,0,Open; pelagic-neritic,0
320,1,35,7,0,Coastal; benthopelagic,0
320,1,35,7,0,Marine; bathypelagic,0
320,1,35,7,0,Coastal; demersal,0
320,2,35,7,0,Marine; benthopelagic,0
320,2,35,7,0,Open; demersal,138926
320,2,35,7,0,Coastal;pelagic-neritic,0
320,2,35,7,0,Marine; pelagic-oceanic,0
320,2,35,7,0,Open; pelagic-neritic,0
320,2,35,7,0,Coastal; benthopelagic,0
320,2,35,7,0,Marine; bathypelagic,0
320,2,35,7,0,Coastal; demersal,0
321,1,35,7,0,Marine; benthopelagic,0
321,1,35,7,0,Open; demersal,2936
321,1,35,7,0,Coastal;pelagic-neritic,0
321,1,35,7,0,Marine; pelagic-oceanic,133479
321,1,35,7,0,Open; pelagic-neritic,0
321,1,35,7,0,Coastal; benthopelagic,0
321,1,35,7,0,Marine; bathypelagic,0
321,1,35,7,0,Coastal; demersal,0
334,1,35,11,500,Marine; benthopelagic,0
334,1,35,11,500,Open; demersal,6
334,1,35,11,500,Coastal;pelagic-neritic,0
334,1,35,11,500,Marine; pelagic-oceanic,66
334,1,35,11,500,Open; pelagic-neritic,141
334,1,35,11,500,Coastal; benthopelagic,0
334,1,35,11,500,Marine; bathypelagic,6960
334,1,35,11,500,Coastal; demersal,0
334,2,35,11,500,Marine; benthopelagic,0
334,2,35,11,500,Open; demersal,48
334,2,35,11,500,Coastal;pelagic-neritic,0
334,2,35,11,500,Marine; pelagic-oceanic,10
334,2,35,11,500,Open; pelagic-neritic,6
334,2,35,11,500,Coastal; benthopelagic,0
334,2,35,11,500,Marine; bathypelagic,27338
334,2,35,11,500,Coastal; demersal,0
335,1,35,11,500,Marine; benthopelagic,0
335,1,35,11,500,Open; demersal,6
335,1,35,11,500,Coastal;pelagic-neritic,0
335,1,35,11,500,Marine; pelagic-oceanic,9
335,1,35,11,500,Open; pelagic-neritic,72
335,1,35,11,500,Coastal; benthopelagic,0
335,1,35,11,500,Marine; bathypelagic,61894
335,1,35,11,500,Coastal; demersal,0
335,2,35,11,500,Marine; benthopelagic,0
335,2,35,11,500,Open; demersal,15
335,2,35,11,500,Coastal;pelagic-neritic,0
335,2,35,11,500,Marine; pelagic-oceanic,13
335,2,35,11,500,Open; pelagic-neritic,14
335,2,35,11,500,Coastal; benthopelagic,0
335,2,35,11,500,Marine; bathypelagic,0
335,2,35,11,500,Coastal; demersal,0
342,1,35,11,50,Marine; benthopelagic,0
342,1,35,11,50,Open; demersal,0
342,1,35,11,50,Coastal;pelagic-neritic,0
342,1,35,11,50,Marine; pelagic-oceanic,68404
342,1,35,11,50,Open; pelagic-neritic,5858
342,1,35,11,50,Coastal; benthopelagic,0
342,1,35,11,50,Marine; bathypelagic,63298
342,1,35,11,50,Coastal; demersal,0
342,2,35,11,50,Marine; benthopelagic,0
342,2,35,11,50,Open; demersal,4813
342,2,35,11,50,Coastal;pelagic-neritic,0
342,2,35,11,50,Marine; pelagic-oceanic,0
342,2,35,11,50,Open; pelagic-neritic,45
342,2,35,11,50,Coastal; benthopelagic,0
342,2,35,11,50,Marine; bathypelagic,0
342,2,35,11,50,Coastal; demersal,0
343,1,35,11,50,Marine; benthopelagic,0
343,1,35,11,50,Open; demersal,0
343,1,35,11,50,Coastal;pelagic-neritic,0
343,1,35,11,50,Marine; pelagic-oceanic,0
343,1,35,11,50,Open; pelagic-neritic,0
343,1,35,11,50,Coastal; benthopelagic,0
343,1,35,11,50,Marine; bathypelagic,20855
343,1,35,11,50,Coastal; demersal,0
343,2,35,11,50,Marine; benthopelagic,0
343,2,35,11,50,Open; demersal,0
343,2,35,11,50,Coastal;pelagic-neritic,0
343,2,35,11,50,Marine; pelagic-oceanic,0
343,2,35,11,50,Open; pelagic-neritic,1697
343,2,35,11,50,Coastal; benthopelagic,0
343,2,35,11,50,Marine; bathypelagic,58359
343,2,35,11,50,Coastal; demersal,0
344,1,35,11,0,Marine; benthopelagic,0
344,1,35,11,0,Open; demersal,0
344,1,35,11,0,Coastal;pelagic-neritic,0
344,1,35,11,0,Marine; pelagic-oceanic,4430
344,1,35,11,0,Open; pelagic-neritic,0
344,1,35,11,0,Coastal; benthopelagic,0
344,1,35,11,0,Marine; bathypelagic,0
344,1,35,11,0,Coastal; demersal,0
344,2,35,11,0,Marine; benthopelagic,0
344,2,35,11,0,Open; demersal,0
344,2,35,11,0,Coastal;pelagic-neritic,0
344,2,35,11,0,Marine; pelagic-oceanic,5614
344,2,35,11,0,Open; pelagic-neritic,1884
344,2,35,11,0,Coastal; benthopelagic,0
344,2,35,11,0,Marine; bathypelagic,0
344,2,35,11,0,Coastal; demersal,0
345,1,35,11,0,Marine; benthopelagic,0
345,1,35,11,0,Open; demersal,0
345,1,35,11,0,Coastal;pelagic-neritic,0
345,1,35,11,0,Marine; pelagic-oceanic,46394
345,1,35,11,0,Open; pelagic-neritic,4163
345,1,35,11,0,Coastal; benthopelagic,0
345,1,35,11,0,Marine; bathypelagic,755
345,1,35,11,0,Coastal; demersal,0
345,2,35,11,0,Marine; benthopelagic,0
345,2,35,11,0,Open; demersal,0
345,2,35,11,0,Coastal;pelagic-neritic,0
345,2,35,11,0,Marine; pelagic-oceanic,49044
345,2,35,11,0,Open; pelagic-neritic,4176
345,2,35,11,0,Coastal; benthopelagic,0
345,2,35,11,0,Marine; bathypelagic,460
345,2,35,11,0,Coastal; demersal,0
456,1,39,1,42,Marine; benthopelagic,554
456,1,39,1,42,Open; demersal,13272
456,1,39,1,42,Coastal;pelagic-neritic,6121
456,1,39,1,42,Marine; pelagic-oceanic,0
456,1,39,1,42,Open; pelagic-neritic,3479
456,1,39,1,42,Coastal; benthopelagic,1720
456,1,39,1,42,Marine; bathypelagic,0
456,1,39,1,42,Coastal; demersal,0
456,2,39,1,42,Marine; benthopelagic,265
456,2,39,1,42,Open; demersal,2717
456,2,39,1,42,Coastal;pelagic-neritic,32189
456,2,39,1,42,Marine; pelagic-oceanic,0
456,2,39,1,42,Open; pelagic-neritic,592
456,2,39,1,42,Coastal; benthopelagic,0
456,2,39,1,42,Marine; bathypelagic,346
456,2,39,1,42,Coastal; demersal,0
457,1,39,1,42,Marine; benthopelagic,0
457,1,39,1,42,Open; demersal,1247
457,1,39,1,42,Coastal;pelagic-neritic,0
457,1,39,1,42,Marine; pelagic-oceanic,0
457,1,39,1,42,Open; pelagic-neritic,11261
457,1,39,1,42,Coastal; benthopelagic,0
457,1,39,1,42,Marine; bathypelagic,0
457,1,39,1,42,Coastal; demersal,0
457,2,39,1,42,Marine; benthopelagic,0
457,2,39,1,42,Open; demersal,8865
457,2,39,1,42,Coastal;pelagic-neritic,49569
457,2,39,1,42,Marine; pelagic-oceanic,0
457,2,39,1,42,Open; pelagic-neritic,975
457,2,39,1,42,Coastal; benthopelagic,0
457,2,39,1,42,Marine; bathypelagic,0
457,2,39,1,42,Coastal; demersal,0
458,1,39,1,25,Marine; benthopelagic,0
458,1,39,1,25,Open; demersal,3382
458,1,39,1,25,Coastal;pelagic-neritic,84
458,1,39,1,25,Marine; pelagic-oceanic,0
458,1,39,1,25,Open; pelagic-neritic,0
458,1,39,1,25,Coastal; benthopelagic,0
458,1,39,1,25,Marine; bathypelagic,0
458,1,39,1,25,Coastal; demersal,4445
458,2,39,1,25,Marine; benthopelagic,0
458,2,39,1,25,Open; demersal,2029
458,2,39,1,25,Coastal;pelagic-neritic,32817
458,2,39,1,25,Marine; pelagic-oceanic,0
458,2,39,1,25,Open; pelagic-neritic,7838
458,2,39,1,25,Coastal; benthopelagic,686
458,2,39,1,25,Marine; bathypelagic,0
458,2,39,1,25,Coastal; demersal,0
459,1,39,1,25,Marine; benthopelagic,0
459,1,39,1,25,Open; demersal,110
459,1,39,1,25,Coastal;pelagic-neritic,34078
459,1,39,1,25,Marine; pelagic-oceanic,0
459,1,39,1,25,Open; pelagic-neritic,5513
459,1,39,1,25,Coastal; benthopelagic,13216
459,1,39,1,25,Marine; bathypelagic,0
459,1,39,1,25,Coastal; demersal,0
459,2,39,1,25,Marine; benthopelagic,0
459,2,39,1,25,Open; demersal,0
459,2,39,1,25,Coastal;pelagic-neritic,0
459,2,39,1,25,Marine; pelagic-oceanic,28427
459,2,39,1,25,Open; pelagic-neritic,9407
459,2,39,1,25,Coastal; benthopelagic,20365
459,2,39,1,25,Marine; bathypelagic,0
459,2,39,1,25,Coastal; demersal,0
462,1,39,1,0,Marine; benthopelagic,0
462,1,39,1,0,Open; demersal,2096
462,1,39,1,0,Coastal;pelagic-neritic,11018
462,1,39,1,0,Marine; pelagic-oceanic,0
462,1,39,1,0,Open; pelagic-neritic,0
462,1,39,1,0,Coastal; benthopelagic,100
