Sample_name,Locus,file1,file2
83.1,16S_Prey,Locus_16S_Prey_83-1_S121_L001_R1_001.fastq,Locus_16S_Prey_83-1_S121_L001_R2_001.fastq
781.1,16S_Prey,Locus_16S_Prey_781-1_S122_L001_R1_001.fastq,Locus_16S_Prey_781-1_S122_L001_R2_001.fastq
83.2,16S_Prey,Locus_16S_Prey_83-2_S123_L001_R1_001.fastq,Locus_16S_Prey_83-2_S123_L001_R2_001.fastq
781.2,16S_Prey,Locus_16S_Prey_781-2_S124_L001_R1_001.fastq,Locus_16S_Prey_781-2_S124_L001_R2_001.fastq
458.3,16S_Prey,Locus_16S_Prey_458-3_S125_L001_R1_001.fastq,Locus_16S_Prey_458-3_S125_L001_R2_001.fastq
783.3,16S_Prey,Locus_16S_Prey_783-3_S126_L001_R1_001.fastq,Locus_16S_Prey_783-3_S126_L001_R2_001.fastq
784.3,16S_Prey,Locus_16S_Prey_784-3_S127_L001_R1_001.fastq,Locus_16S_Prey_784-3_S127_L001_R2_001.fastq
849.3,16S_Prey,Locus_16S_Prey_849-3_S128_L001_R1_001.fastq,Locus_16S_Prey_849-3_S128_L001_R2_001.fastq
1275.3,16S_Prey,Locus_16S_Prey_1275-3_S129_L001_R1_001.fastq,Locus_16S_Prey_1275-3_S129_L001_R2_001.fastq
1573.3,16S_Prey,Locus_16S_Prey_1573-3_S130_L001_R1_001.fastq,Locus_16S_Prey_1573-3_S130_L001_R2_001.fastq
1574.3,16S_Prey,Locus_16S_Prey_1574-3_S131_L001_R1_001.fastq,Locus_16S_Prey_1574-3_S131_L001_R2_001.fastq
986.1,16S_Prey,Locus_16S_Prey_986-1_S132_L001_R1_001.fastq,Locus_16S_Prey_986-1_S132_L001_R2_001.fastq
1003.1,16S_Prey,Locus_16S_Prey_1003-1_S133_L001_R1_001.fastq,Locus_16S_Prey_1003-1_S133_L001_R2_001.fastq
1005.1,16S_Prey,Locus_16S_Prey_1005-1_S134_L001_R1_001.fastq,Locus_16S_Prey_1005-1_S134_L001_R2_001.fastq
1008.1,16S_Prey,Locus_16S_Prey_1008-1_S135_L001_R1_001.fastq,Locus_16S_Prey_1008-1_S135_L001_R2_001.fastq
