representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
cb72ee34740ff3bb7b5e61af44721e92bd328d34,8157,Carangidae,family,0.9999,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,,
1064bce61e5dee7f3a49992468582f18bc9abcc6,34820,Sebastes,genus,0.9145,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
bc3c200669e704549d2edf96a9bb17055002c418,41711,Osmeriformes,order,1,Metazoa,Chordata,Actinopteri,Osmeriformes,,,
09bf698fb313c3e74fed0926344ec250d00650e7,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
3f6559090a41786588b34f4282681cc41fa03bde,1489388,Euteleosteomorpha,cohort,0.9943,Metazoa,Chordata,Actinopteri,,,,
ab18e79ce6185d821b187f3f2383bc456425fa0c,8016,Oncorhynchus,genus,0.998,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
54ceff55932f3a723cb3bde24084164b6ec02130,8016,Oncorhynchus,genus,0.9964,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
0343d860a32ff25d701178896d653461d037e843,30478,Raja rhina,species,0.9978,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja rhina
c63b698cbed60bfe98629eced95a4d77a1642e66,1489872,Percomorphaceae,no rank,1,Metazoa,Chordata,Actinopteri,,,,
d684efb0c5c75f6a7026aef8c2e503d8420b916e,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
4adefeb7edc586b1f536254fc6a75051a53054b6,8092,Cottidae,family,0.9932,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,,
6301e8427d39532db9d72558e48efd9d5c624247,68514,Myctophiformes,order,1,Metazoa,Chordata,Actinopteri,Myctophiformes,,,
e6ef0bc0cd69cc7cfaaa1bd595893927d6883985,8256,Pleuronectidae,family,0.9466,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
0c1431122d4c45d0ec00e8ca2b1314dac03efc66,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
ccc45450225f4474249462a2ec374570d5072cc4,8016,Oncorhynchus,genus,0.9952,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
c1c98db07e6c9c0d16e8c2fc261d6b0fa7b08271,7797,Squalus acanthias,species,1,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
a101a0245734f7dd918f12bab31c633a29e120fe,274705,Sebastinae,subfamily,0.9798,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,,
37883bff22ce3a35054ec5bbe75acd24c7c2921b,30478,Raja rhina,species,0.9977,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja rhina
6da8258c1cabfaa6ee8f6875bf6ad323950a6042,34820,Sebastes,genus,0.9685,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
3308649486c1ff4d151de2b7509580c0af6e820d,41711,Osmeriformes,order,1,Metazoa,Chordata,Actinopteri,Osmeriformes,,,
18dbbf492bd44d880b7c30bed6fdc8f48753c97d,30478,Raja rhina,species,0.9977,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja rhina
7d31984367195ab5f34c3f05ab8297b8aee9bceb,34820,Sebastes,genus,0.9719,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
365fdb65792d06af6230ab672449f398ec14d069,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
73240d191a334f7e832b770c560e03cc20c7a63d,8113,Cichlidae,family,1,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
41c06672d1509bc0c63e2c8a10326aeb1185077f,274705,Sebastinae,subfamily,0.99,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,,
83752c7e5faee030acb2319155a4f0558d2ac236,34820,Sebastes,genus,0.9925,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
4959ab9b95cc166d0292e0896d38ab87480d99a7,1489388,Euteleosteomorpha,cohort,0.9995,Metazoa,Chordata,Actinopteri,,,,
3ae488cb6556f4a0b0896aba2ca66fffa0c770cd,34820,Sebastes,genus,0.9133,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
ecbaee08d485253e4922241cf2cfb7bd82e41bea,8157,Carangidae,family,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,,
d80fa158d5da31a4a5174e93713d8941bcec2216,34820,Sebastes,genus,0.9697,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
347e0d2cf0245fbb61475a9b62c8e715bc18a2de,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
397dbb379b6d1d761ace9092535d744244075165,30724,Clupea pallasii,species,0.991,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
facb3fab398902021c38ee51a7eddb9be428dfd2,195599,Citharichthys,genus,0.9999,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
ca778f9802b32d61197b3b14797537f831eba524,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
ba3cbaaac4c278421b5d9ae283965f8f5c7ded2b,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
d1189ff557be21ce6488428f939058e34c2c58f7,30724,Clupea pallasii,species,0.9964,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
e4cf09ffe9435d46abab53b74a9c586266882e5a,72072,Sebastes ensifer,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes ensifer
e7e270bd2a40eac3aeaee090c7de31d7c7789770,504568,Salmoninae,subfamily,0.9864,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,,
27e75f985d922415c058de469137e2b36a0f0611,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
4f0a6aaf8bc6053d9177ded13439a22b686b6fa2,8016,Oncorhynchus,genus,0.999,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
563571c9bf93780852270829b15426ab113f08c5,8016,Oncorhynchus,genus,0.9977,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
6c061ae7aefc2a074850fd8b266cba9c63d6572c,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
0340224ad7a9a7449e063a1afa42c9fc31c842d3,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
49c2240d5d17487bdc2598e225b77c6b562c173e,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
a40f8fd74293160bd695bda2b926defe10e32943,30724,Clupea pallasii,species,0.9128,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
78670ad98d15d3b397c97829ecb7ad108c53c925,183715,Liparidae,family,1,Metazoa,Chordata,Actinopteri,Perciformes,Liparidae,,
6684a880baf1a1fc990d66600d9508794e84b828,8157,Carangidae,family,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,,
ba11b9a4633160d010ccaf47e12b43e0511a4a4d,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
ff263df43acfbe13880b6da702652308031db0e9,8157,Carangidae,family,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,,
35dcdb2c0d4066ecf59fbfbd1b5730fbbdbd2bf2,30724,Clupea pallasii,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
fab01637435cef00d3c117a245caf6f74dc6124c,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
ef82f0709b8bf6ecf4b92c4b1ec595831a18d4d4,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
