qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H10,E3,E01,gBlocks,26.79559135,0.261201647,STANDARD,32.28143692,10,STANDARD,31.47502136,10,STANDARD,33.34383392,10
H10,F1,5,gBlocks,26.3624382,-0.171951506,STANDARD,32.97550201,5,STANDARD,31.96565819,5,STANDARD,34.67418289,5
H10,F2,5,gBlocks,26.90387154,0.369481828,STANDARD,33.24016953,5,STANDARD,32.81119156,5,UNKNOWN,35.38884735,2.050184965
H10,F3,5,gBlocks,26.5318203,-0.002569411,STANDARD,33.40985107,5,STANDARD,32.46673584,5,STANDARD,34.03152847,5
H10,G1,E00,gBlocks,26.54860687,0.014217165,STANDARD,34.70351791,1,STANDARD,35.34728622,1,STANDARD,35.12576675,1
H10,G2,E00,gBlocks,26.83676338,0.302373674,STANDARD,37.46430206,1,STANDARD,35.85052872,1,STANDARD,37.82787704,1
H10,G3,E00,gBlocks,26.53310394,-0.001285765,STANDARD,35.54164886,1,STANDARD,34.32649231,1,STANDARD,36.07514572,1
H10,H1,E00,gBlocks,26.47099876,-0.063390944,STANDARD,34.07661057,1,STANDARD,34.3014946,1,STANDARD,35.52490997,1
H10,H2,E00,gBlocks,26.38569832,-0.148691389,STANDARD,36.09486008,1,STANDARD,34.78105545,1,STANDARD,36.52998352,1
H10,H3,E00,gBlocks,26.76809692,0.233707216,STANDARD,35.89563751,1,STANDARD,34.72385406,1,STANDARD,37.69700623,1
H11,A1,E05,gBlocks,28.79008293,2.65913558,STANDARD,19.74529839,100000,STANDARD,19.46907616,100000,STANDARD,20.96756744,100000
H11,A2,E05,gBlocks,29.13692856,3.005981207,STANDARD,19.50475883,100000,STANDARD,19.14174652,100000,STANDARD,20.66946411,100000
H11,A3,E05,gBlocks,28.28555298,2.154605627,STANDARD,19.72293472,100000,STANDARD,19.31298637,100000,STANDARD,20.81807327,100000
H11,B1,E04,gBlocks,26.43987083,0.308923483,STANDARD,22.89759445,10000,STANDARD,22.5218029,10000,STANDARD,24.04235268,10000
H11,B2,E04,gBlocks,26.21443748,0.083490133,STANDARD,22.91172981,10000,STANDARD,22.62896538,10000,STANDARD,24.0109005,10000
H11,B3,E04,gBlocks,26.17457581,0.043628454,STANDARD,23.0451107,10000,STANDARD,22.73501396,10000,STANDARD,24.19662285,10000
H11,C1,E03,gBlocks,26.21180153,0.080854177,STANDARD,26.01397133,1000,STANDARD,25.62585831,1000,STANDARD,27.06693459,1000
H11,C2,E03,gBlocks,26.24239349,0.111446142,STANDARD,25.9975853,1000,STANDARD,25.48649025,1000,STANDARD,26.94303322,1000
H11,C3,E03,gBlocks,26.15117073,0.020223379,STANDARD,25.94389153,1000,STANDARD,25.57224274,1000,STANDARD,27.17868996,1000
H11,D1,E02,gBlocks,26.38025475,0.249307394,STANDARD,28.94275856,100,STANDARD,28.61872673,100,STANDARD,29.95362473,100
H11,D2,E02,gBlocks,26.39134216,0.260394812,STANDARD,28.94823647,100,STANDARD,28.50560951,100,STANDARD,29.86219978,100
H11,D3,E02,gBlocks,26.37788391,0.24693656,STANDARD,28.86252975,100,STANDARD,28.34442139,100,STANDARD,29.90158653,100
H11,E1,E01,gBlocks,26.28204727,0.15109992,STANDARD,32.09130859,10,STANDARD,31.99143028,10,STANDARD,34.20144653,10
H11,E2,E01,gBlocks,26.42213631,0.291188955,STANDARD,31.94571114,10,STANDARD,32.13766479,10,STANDARD,33.60239029,10
