"","Species","MFU-52193-1024-1-d1","MFU-52193-1044-1-d1","MFU-52193-1048-1-d1","MFU-52193-1079-1-d1","MFU-52193-1091-1-d1","MFU-52193-1093-1-d1","MFU-52193-1099-1-d5","MFU-52193-1115-1-d1","MFU-52193-1139-1-d5","MFU-52193-1157-1-d1","MFU-52193-1201-1-d5","MFU-52193-1231-1-d1","MFU-52193-124-1-d1","MFU-52193-1243-1-d1","MFU-52193-1253-1-d1","MFU-52193-1267-1-d1","MFU-52193-1275-1-d5","MFU-52193-1279-1-d5","MFU-52193-1281-1-d1","MFU-52193-1295-1-d1","MFU-52193-1299-1-d5","MFU-52193-1314-1-d5","MFU-52193-1334-1-d1","MFU-52193-1385-1-d1","MFU-52193-1449-1-d1","MFU-52193-1453-1-d1","MFU-52193-1474-1-d1","MFU-52193-150-1-d5","MFU-52193-1501-1-d1","MFU-52193-1555-1-d1","MFU-52193-156-1-d1","MFU-52193-1575-1-d1","MFU-52193-1591-1-d1","MFU-52193-1682-1-d1","MFU-52193-170-1-d1","MFU-52193-1700-1-d1","MFU-52193-1735-1-d5","MFU-52193-178-1-d1","MFU-52193-1811-1-d1","MFU-52193-182-1-d1","MFU-52193-1861-1-d1","MFU-52193-1869-1-d1","MFU-52193-1871-1-d1","MFU-52193-202-1-d1","MFU-52193-227-1-d1","MFU-52193-294-1-d1","MFU-52193-300-1-d1","MFU-52193-332-1-d5","MFU-52193-338-1-d1","MFU-52193-352-1-d1","MFU-52193-372-1-d1","MFU-52193-408-1-d1","MFU-52193-423-1-d1","MFU-52193-435-1-d1","MFU-52193-506-1-d1","MFU-52193-517-1-d1","MFU-52193-529-1-d1","MFU-52193-617-1-d1","MFU-52193-62-1-d1","MFU-52193-645-1-d1","MFU-52193-700-1-d1","MFU-52193-72-1-d1","MFU-52193-734-1-d5","MFU-52193-789-1-d1","MFU-52193-808-1-d5","MFU-52193-823-1-d1","MFU-52193-847-1-d1","MFU-52193-874-1-d5","MFU-52193-878-1-d1","MFU-52193-898-1-d5","MFU-52193-910-1-d5","MFU-52193-977-1-d1","MFU-52193-979-1-d1","MFU-52193-991-1-d1","MFU-52193-993-1-d5","MFU-52193-997-1-d1"
"33","Liparis fucensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Lipolagus ochotensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0,1819,0,0,232,0,0,0,0,0,0,0
"35","Lycodes diapterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Magnisudis atlantica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,4991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640,0,0,0,0
"37","Megaptera novaeangliae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,837,0,501,0,0,0,0,0,0,0,0,0,0,0,0
"38","Merluccius productus",22078,6991,2025,9440,7277,86,0,2612,7507,2258,63,0,93560,0,0,0,0,308,26220,14156,19439,0,8301,49384,0,0,1951,6086,6612,0,4433,0,4845,0,56528,57706,2299,41348,85881,65619,5621,123588,2066,5235,19288,0,13359,0,578,343713,10086,0,2254,86043,9,1897,5642,3118,0,11167,153652,5774,21,895885,10861,2672,0,0,6885,1131,41,27159,23635,20752,2384,1186
"39","Microgadus proximus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Mugil setosus",0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Nannobrachium regale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Nansenia candida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,0,0,0,0,0,0,0,0,13232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22627,10793,5985,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
